Date,"Eleanor Schonell Bridge, St Lucia Cyclist","Eleanor Schonell Bridge, St Lucia Pedestrian","Jack Pesch Bridge, Indooroopilly Pedestrian","Jack Pesch Bridge, Indooroopilly Cyclist"
"Wed, 14 09 22",206,3659,692,529
"Thu, 15 09 22",186,3560,612,544
"Fri, 16 09 22",87,2619,314,192
"Sat, 17 09 22",126,1732,505,565
"Sun, 18 09 22",222.5,2169,743,772
"Mon, 19 09 22",201.5,3496,433,371
"Tue, 20 09 22",222,3632,598,497
"Wed, 21 09 22",128,2833,510,476
"Thu, 22 09 22",29,919,269,118
"Fri, 23 09 22",96.5,2512,520,352
"Sat, 24 09 22",165,1683,668,653
"Sun, 25 09 22",224,1867,708,777
"Mon, 26 09 22",159.5,2567,494,373
"Tue, 27 09 22",198.5,2442,578,514
"Wed, 28 09 22",166.5,2425,467,369
"Thu, 29 09 22",153.5,2527,753,444
"Fri, 30 09 22",168,2443,716,617
"Sat, 01 10 22",141,1402,643,696
"Sun, 02 10 22",33.5,844,333,213
"Mon, 03 10 22",254,2452,875,803
"Tue, 04 10 22",285,4195,718,528
"Wed, 05 10 22",230,3511,788,675
"Thu, 06 10 22",170,3377,608,386
"Fri, 07 10 22",169,3185,825,675
"Sat, 08 10 22",177.5,1874,837,664
"Sun, 09 10 22",87,1554,465,307
"Mon, 10 10 22",158.5,3043,606,468
"Tue, 11 10 22",211,3746,795,686
"Wed, 12 10 22",206,3554,750,655
"Thu, 13 10 22",194,3690,903,608
"Fri, 14 10 22",184,3196,633,693
"Sat, 15 10 22",173,2286,691,732
"Sun, 16 10 22",202,2189,689,886
"Mon, 17 10 22",145,3229,593,447
"Tue, 18 10 22",204,3681,787,607
"Wed, 19 10 22",105,2681,470,408
"Thu, 20 10 22",91,3105,414,252
"Fri, 21 10 22",66.5,2178,322,330
"Sat, 22 10 22",26,894,197,120
"Sun, 23 10 22",10,703,152,42
"Mon, 24 10 22",175.5,3449,563,511
"Tue, 25 10 22",114.5,2506,387,242
"Wed, 26 10 22",229.5,3435,647,727
"Thu, 27 10 22",150.5,3156,593,559
"Fri, 28 10 22",170,2595,508,668
"Sat, 29 10 22",129,1725,517,686
"Sun, 30 10 22",157,1971,485,611
"Mon, 31 10 22",162,2786,544,470
"Tue, 01 11 22",71.5,2004,314,135
"Wed, 02 11 22",186,2998,786,588
"Thu, 03 11 22",179.5,3049,808,651
"Fri, 04 11 22",160,2896,880,716
"Sat, 05 11 22",140,2157,744,670
"Sun, 06 11 22",169,2191,737,760
"Mon, 07 11 22",162,3101,593,477
"Tue, 08 11 22",199.5,3458,790,591
"Wed, 09 11 22",219,3248,790,708
"Thu, 10 11 22",167.5,3335,713,553
"Fri, 11 11 22",187,2885,847,738
"Sat, 12 11 22",164.5,1998,704,620
"Sun, 13 11 22",161,1738,662,656
"Mon, 14 11 22",163.5,2848,501,427
"Tue, 15 11 22",204,2499,530,580
"Wed, 16 11 22",227,2489,665,635
"Thu, 17 11 22",169,3029,745,603
"Fri, 18 11 22",169,2469,755,697
"Sat, 19 11 22",129,1445,637,669
"Sun, 20 11 22",174.5,1275,351,634
"Mon, 21 11 22",129.5,2160,286,434
"Tue, 22 11 22",174,2513,592,637
"Wed, 23 11 22",185,2737,667,687
"Thu, 24 11 22",154,2669,588,605
"Fri, 25 11 22",123.5,2034,659,672
"Sat, 26 11 22",130.5,1161,527,612
"Sun, 27 11 22",137.5,1258,467,613
"Mon, 28 11 22",136,2005,326,360
"Tue, 29 11 22",162,2370,487,514
"Wed, 30 11 22",133,1861,329,404
"Thu, 01 12 22",25.5,916,70,65
"Fri, 02 12 22",124,2100,475,415
"Sat, 03 12 22",129.5,1401,566,607
"Sun, 04 12 22",138.5,1539,605,635
"Mon, 05 12 22",159,2155,446,425
"Tue, 06 12 22",178,1933,422,556
"Wed, 07 12 22",202.5,2189,488,541
"Thu, 08 12 22",124.5,1824,215,195
"Fri, 09 12 22",185,2476,708,582
"Sat, 10 12 22",149.5,1460,573,611
"Sun, 11 12 22",121.5,1379,568,661
"Mon, 12 12 22",149.5,2075,410,429
"Tue, 13 12 22",171.5,2344,555,548
"Wed, 14 12 22",167,1795,489,534
"Thu, 15 12 22",127.5,2195,545,513
"Fri, 16 12 22",150,2023,645,576
"Sat, 17 12 22",129,1408,655,631
"Sun, 18 12 22",119.5,1402,901,585
"Mon, 19 12 22",128.5,1884,485,398
"Tue, 20 12 22",151,2117,677,613
"Wed, 21 12 22",149.5,1993,654,597
